account_id,system_id,account_source,entitlement_type,system_profile,entitlement,action
HACN\40001,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,APPROVED_AND_ADJUSTED_RECORDS,VIEW_AND_EXPORT
HACN\50000,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,APPROVED_AND_ADJUSTED_RECORDS,VIEW_AND_EXPORT
HACN\40010,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,ONLY_APPROVED_RECORDS,VIEW_ONLY
HACN\40001,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4501<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
HACN\40001,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4502<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
HACN\40001,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4503<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
HACN\40001,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4504<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
HACN\40010,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4501BSM<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
HACN\40010,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4501CC<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
HACN\40010,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4502BSM<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
HACN\40010,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,4502CC<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
HACN\50000,GLOBAL-GL-A-IFRS9IMPAIRM-01,SYSTEM,E,,<ALL><ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
TRAILER,20180904152606,12
