system_id,system_profile,security_definition_type,system_profile_type,entitlement,action
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,APPROVED_AND_ADJUSTED_RECORDS,VIEW_AND_EXPORT
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,<ALL><ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,ONLY_APPROVED_RECORDS,VIEW_ONLY
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4501<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4502<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4503<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4504<ALL><ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_AND_EXPORT
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4501BSM<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4501CC<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4502BSM<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
GLOBAL-GL-A-IFRS9IMPAIRM-01,,E,,4502CC<ALL> (ENTITY/GLOBAL BUSINESS/ENGINE) - Data level access,VIEW_ONLY
TRAILER,20180904152606,11
